sleep_duration,stress_level,heart_rate,physical_activity,caffeine,alcohol,exercise_freq,age,gender,bmi,daily_steps,sleep_disorder,bedtime_hour,rem_pct,deep_pct,awakenings,quality,source
7.51,6.2,61.0,28.3,58.4,3.16,2.0,49.0,0.0,,,,22.96,0.0859,0.1698,5.0,0.4633,synthetic
6.39,7.9,68.0,46.8,169.5,1.95,1.0,43.0,1.0,,,,2.89,0.1872,0.075,4.0,0.4453,synthetic
8.45,8.5,79.0,43.2,166.7,3.72,2.0,43.0,1.0,,,,2.97,0.1561,0.0626,2.0,0.5943,synthetic
4.82,6.9,73.0,64.5,240.2,0.12,7.0,30.0,0.0,,,,23.93,0.0783,0.32,5.0,0.203,synthetic
5.77,4.6,86.0,65.7,243.5,2.14,3.0,23.0,1.0,,,,20.48,0.0817,0.1806,2.0,0.4222,synthetic
5.65,4.1,73.0,65.6,258.1,3.26,3.0,49.0,0.0,,,,23.97,0.05,0.1981,2.0,0.3852,synthetic
9.43,5.7,87.0,18.1,279.2,2.3,6.0,68.0,0.0,,,,2.67,0.1295,0.0571,3.0,0.7703,synthetic
8.03,7.8,56.0,40.4,41.3,1.19,2.0,21.0,1.0,,,,2.48,0.2602,0.2409,1.0,0.7096,synthetic
7.59,5.4,82.0,73.0,122.0,2.32,7.0,66.0,1.0,,,,21.51,0.05,0.1308,2.0,0.4952,synthetic
4.52,5.4,59.0,34.3,6.9,4.25,6.0,65.0,0.0,,,,21.33,0.05,0.1479,3.0,0.2171,synthetic
5.42,4.6,52.0,88.6,181.9,1.03,2.0,33.0,0.0,,,,21.07,0.1328,0.2788,1.0,0.4069,synthetic
7.68,3.8,54.0,32.8,171.8,1.84,5.0,54.0,0.0,,,,1.74,0.1335,0.132,2.0,0.685,synthetic
6.4,4.2,73.0,44.8,293.7,4.95,3.0,27.0,0.0,,,,23.43,0.05,0.1471,4.0,0.4414,synthetic
9.12,4.8,62.0,42.7,66.8,4.56,2.0,61.0,0.0,,,,22.37,0.1143,0.0719,3.0,0.5105,synthetic
8.32,7.9,56.0,39.0,252.6,0.17,7.0,57.0,0.0,,,,22.27,0.1796,0.1183,2.0,0.491,synthetic
6.74,4.0,75.0,76.1,122.7,2.65,3.0,38.0,1.0,,,,21.93,0.1235,0.176,1.0,0.4714,synthetic
8.25,4.6,70.0,14.0,152.8,0.33,0.0,21.0,0.0,,,,2.18,0.2597,0.2052,0.0,0.7619,synthetic
9.38,2.8,65.0,51.1,287.7,4.62,3.0,73.0,1.0,,,,22.87,0.05,0.0212,3.0,0.6037,synthetic
6.8,5.9,71.0,55.7,28.6,2.21,4.0,43.0,1.0,,,,21.71,0.05,0.161,3.0,0.4311,synthetic
7.71,7.2,84.0,76.6,137.1,2.09,1.0,68.0,1.0,,,,0.97,0.1808,0.0593,6.0,0.5033,synthetic
9.09,7.7,79.0,54.8,156.5,1.36,5.0,56.0,0.0,,,,0.45,0.2261,0.1043,2.0,0.676,synthetic
5.74,4.9,70.0,86.4,286.3,2.84,1.0,62.0,1.0,,,,1.01,0.0767,0.1439,5.0,0.5133,synthetic
8.93,5.6,83.0,78.5,79.7,0.72,0.0,61.0,1.0,,,,1.75,0.1341,0.2085,9.0,0.6984,synthetic
4.99,4.2,85.0,31.4,379.0,3.99,4.0,29.0,0.0,,,,20.71,0.05,0.2075,4.0,0.3342,synthetic
7.74,5.6,65.0,77.4,399.1,2.46,1.0,38.0,1.0,,,,20.01,0.0692,0.2501,2.0,0.5439,synthetic
8.41,5.1,56.0,86.3,327.6,2.83,6.0,44.0,0.0,,,,20.35,0.0507,0.2174,1.0,0.5362,synthetic
7.57,4.6,55.0,23.1,119.9,4.2,0.0,46.0,1.0,,,,0.95,0.1341,0.0876,3.0,0.6363,synthetic
6.98,4.8,76.0,54.9,265.5,0.93,3.0,20.0,0.0,,,,2.54,0.2086,0.2684,3.0,0.6806,synthetic
7.59,5.4,87.0,25.4,33.3,0.88,0.0,49.0,1.0,,,,22.32,0.0582,0.1115,2.0,0.4863,synthetic
5.26,3.9,52.0,58.5,348.5,2.1,3.0,26.0,0.0,,,,1.47,0.1558,0.1641,1.0,0.5907,synthetic
5.58,4.0,70.0,8.4,206.4,3.93,7.0,60.0,0.0,,,,1.1,0.1358,0.0487,5.0,0.4985,synthetic
5.85,7.9,58.0,66.1,70.6,0.29,5.0,56.0,0.0,,,,2.85,0.2272,0.1702,1.0,0.4999,synthetic
7.49,9.9,71.0,37.8,131.0,3.98,4.0,70.0,0.0,,,,23.3,0.05,0.0692,8.0,0.2067,synthetic
6.71,2.1,84.0,52.9,320.3,2.5,1.0,60.0,0.0,,,,21.16,0.0809,0.1081,6.0,0.4483,synthetic
5.72,2.0,81.0,2.3,348.1,2.81,2.0,38.0,0.0,,,,1.36,0.1889,0.1133,3.0,0.62,synthetic
8.91,2.6,89.0,62.6,207.9,2.82,3.0,73.0,0.0,,,,1.73,0.138,0.1005,4.0,0.7841,synthetic
6.37,4.3,69.0,44.6,192.1,0.28,4.0,41.0,1.0,,,,0.95,0.2406,0.298,3.0,0.6633,synthetic
6.73,6.3,77.0,56.3,300.3,1.25,1.0,36.0,1.0,,,,2.04,0.2001,0.1785,2.0,0.6409,synthetic
6.55,5.7,86.0,28.4,330.5,3.78,7.0,69.0,1.0,,,,22.6,0.05,0.1458,7.0,0.3275,synthetic
5.41,4.8,78.0,13.1,305.9,2.06,5.0,39.0,1.0,,,,0.83,0.2038,0.2,1.0,0.5137,synthetic
8.16,5.6,89.0,39.2,153.8,2.8,2.0,22.0,0.0,,,,21.85,0.089,0.1622,1.0,0.5485,synthetic
6.74,3.1,60.0,85.0,256.8,4.72,0.0,44.0,0.0,,,,23.13,0.05,0.1046,4.0,0.4153,synthetic
4.58,4.0,55.0,20.5,342.9,0.23,4.0,63.0,0.0,,,,21.7,0.1045,0.139,5.0,0.33,synthetic
9.32,4.5,56.0,60.8,60.7,2.25,3.0,28.0,0.0,,,,21.08,0.0909,0.2027,2.0,0.5778,synthetic
8.58,1.3,84.0,4.5,155.3,1.81,5.0,44.0,0.0,,,,20.25,0.0708,0.1429,2.0,0.6834,synthetic
8.12,2.2,52.0,64.6,22.6,0.53,4.0,25.0,1.0,,,,0.7,0.2401,0.2394,2.0,0.8561,synthetic
8.85,2.3,82.0,21.5,163.6,4.75,5.0,57.0,1.0,,,,2.13,0.1383,0.1494,3.0,0.8082,synthetic
9.03,6.0,69.0,40.6,308.9,4.81,6.0,45.0,1.0,,,,22.2,0.05,0.0422,3.0,0.5087,synthetic
6.19,5.0,78.0,33.1,78.8,1.56,4.0,36.0,0.0,,,,23.0,0.0765,0.1718,5.0,0.4018,synthetic
7.55,5.7,80.0,10.2,216.8,4.73,5.0,30.0,1.0,,,,20.02,0.05,0.0805,9.0,0.412,synthetic
7.54,1.0,67.0,31.1,14.6,0.18,2.0,50.0,0.0,,,,22.89,0.1487,0.2335,1.0,0.6548,synthetic
5.84,1.5,56.0,31.5,359.1,4.9,7.0,56.0,0.0,,,,21.97,0.05,0.064,4.0,0.4572,synthetic
5.61,5.8,75.0,47.0,328.0,4.18,3.0,71.0,0.0,,,,0.02,0.1687,0.1329,3.0,0.4534,synthetic
5.07,1.0,88.0,87.5,209.8,1.07,5.0,42.0,1.0,,,,2.36,0.1727,0.2004,1.0,0.6421,synthetic
7.8,6.9,51.0,42.3,282.3,3.0,7.0,27.0,0.0,,,,23.54,0.1128,0.1702,2.0,0.4043,synthetic
8.4,1.0,59.0,82.3,41.6,3.99,2.0,65.0,0.0,,,,0.73,0.1866,0.1463,4.0,0.8038,synthetic
8.3,6.2,85.0,41.5,338.1,1.6,0.0,53.0,0.0,,,,0.94,0.1258,0.1721,2.0,0.6939,synthetic
6.08,2.7,53.0,9.7,286.1,1.77,1.0,57.0,0.0,,,,21.07,0.0748,0.0591,2.0,0.4446,synthetic
5.53,6.6,50.0,20.7,48.0,3.14,1.0,23.0,0.0,,,,22.43,0.081,0.1423,3.0,0.3369,synthetic
6.77,10.0,85.0,36.7,392.3,0.74,0.0,35.0,0.0,,,,20.79,0.1442,0.2012,4.0,0.3391,synthetic
7.23,1.0,81.0,29.3,9.0,0.59,4.0,61.0,0.0,,,,23.09,0.1221,0.0629,4.0,0.5367,synthetic
9.1,5.9,60.0,77.9,251.4,1.25,2.0,65.0,0.0,,,,2.21,0.1754,0.2076,2.0,0.7593,synthetic
8.87,1.0,89.0,61.1,68.7,3.71,0.0,42.0,0.0,,,,23.37,0.1143,0.192,7.0,0.6396,synthetic
9.08,5.4,78.0,52.0,287.7,1.83,1.0,63.0,0.0,,,,23.19,0.0855,0.1867,3.0,0.505,synthetic
8.75,4.1,55.0,44.2,28.2,2.54,2.0,65.0,1.0,,,,21.47,0.05,0.078,2.0,0.5953,synthetic
9.32,4.8,68.0,35.8,32.4,0.98,2.0,40.0,0.0,,,,22.17,0.1122,0.2068,1.0,0.6326,synthetic
6.83,2.7,85.0,55.1,186.5,0.97,7.0,69.0,1.0,,,,2.56,0.1644,0.2244,2.0,0.7726,synthetic
4.74,6.1,77.0,11.2,397.6,3.25,5.0,34.0,1.0,,,,22.12,0.0535,0.1684,5.0,0.2518,synthetic
4.92,1.6,73.0,14.6,110.6,0.54,5.0,31.0,0.0,,,,1.12,0.2134,0.2545,4.0,0.5714,synthetic
6.45,7.0,67.0,27.3,245.0,3.34,5.0,56.0,0.0,,,,20.29,0.1164,0.0799,3.0,0.4223,synthetic
5.79,3.7,60.0,15.4,207.4,2.0,6.0,54.0,0.0,,,,20.9,0.1134,0.0829,2.0,0.4388,synthetic
5.35,1.7,75.0,60.9,336.8,3.36,2.0,25.0,0.0,,,,22.18,0.05,0.1441,10.0,0.4107,synthetic
9.27,7.7,56.0,2.2,115.4,1.91,0.0,65.0,0.0,,,,2.31,0.1685,0.1348,7.0,0.6582,synthetic
5.48,4.4,82.0,14.4,222.0,4.23,4.0,29.0,0.0,,,,21.54,0.0954,0.0951,3.0,0.3201,synthetic
9.3,8.3,58.0,81.2,380.2,0.28,0.0,63.0,0.0,,,,1.09,0.1213,0.168,1.0,0.6357,synthetic
8.3,6.9,55.0,89.8,133.0,4.47,1.0,18.0,0.0,,,,21.17,0.05,0.1216,2.0,0.5308,synthetic
7.7,2.9,53.0,43.9,175.8,1.34,6.0,63.0,1.0,,,,0.29,0.1609,0.095,2.0,0.6782,synthetic
7.88,4.3,83.0,44.6,355.5,0.21,4.0,62.0,0.0,,,,0.11,0.229,0.1893,3.0,0.7665,synthetic
6.16,4.7,69.0,69.6,133.0,2.81,5.0,62.0,1.0,,,,0.35,0.1531,0.1928,3.0,0.5755,synthetic
7.73,7.6,66.0,3.3,152.3,1.12,4.0,55.0,0.0,,,,22.0,0.128,0.0378,8.0,0.4246,synthetic
5.43,5.4,71.0,38.4,121.6,2.3,4.0,44.0,1.0,,,,21.13,0.0975,0.1909,3.0,0.352,synthetic
9.19,4.9,73.0,9.0,323.8,4.01,2.0,58.0,0.0,,,,2.21,0.1151,0.02,5.0,0.788,synthetic
6.01,4.1,85.0,36.1,372.2,3.96,1.0,33.0,1.0,,,,23.99,0.05,0.1575,4.0,0.3594,synthetic
5.78,4.4,64.0,88.5,252.4,3.0,2.0,62.0,1.0,,,,21.48,0.0693,0.193,3.0,0.351,synthetic
8.06,7.1,57.0,67.8,249.5,4.89,6.0,49.0,0.0,,,,22.89,0.05,0.0739,4.0,0.4333,synthetic
7.78,4.5,85.0,88.7,156.0,2.32,7.0,44.0,1.0,,,,20.47,0.144,0.1996,3.0,0.5276,synthetic
6.76,3.7,69.0,67.1,5.0,0.2,0.0,46.0,0.0,,,,23.33,0.1251,0.2312,1.0,0.5003,synthetic
7.66,3.4,73.0,54.7,69.6,4.1,4.0,50.0,0.0,,,,22.97,0.0882,0.1454,2.0,0.5267,synthetic
5.3,3.4,56.0,67.9,59.0,1.11,3.0,20.0,1.0,,,,20.93,0.05,0.1558,3.0,0.4414,synthetic
7.87,1.7,84.0,59.3,46.4,0.88,4.0,25.0,1.0,,,,23.11,0.0864,0.2479,6.0,0.6666,synthetic
5.85,3.0,88.0,41.8,261.6,0.35,1.0,31.0,0.0,,,,0.48,0.2758,0.2004,4.0,0.7179,synthetic
5.86,7.5,68.0,26.3,54.5,1.64,0.0,24.0,1.0,,,,2.5,0.208,0.1769,4.0,0.4398,synthetic
5.31,4.1,51.0,46.8,34.3,1.63,1.0,43.0,1.0,,,,0.92,0.1649,0.1931,2.0,0.6105,synthetic
6.16,5.9,51.0,23.3,153.0,1.51,1.0,56.0,1.0,,,,23.52,0.0525,0.1781,1.0,0.3725,synthetic
6.16,1.0,62.0,43.8,99.6,2.97,0.0,55.0,0.0,,,,1.39,0.1556,0.0743,4.0,0.6432,synthetic
6.77,5.6,70.0,13.2,58.3,3.76,2.0,44.0,1.0,,,,21.96,0.05,0.1713,2.0,0.404,synthetic
5.45,4.2,67.0,50.9,58.5,4.69,5.0,66.0,0.0,,,,0.68,0.1573,0.0548,2.0,0.4861,synthetic
5.47,3.5,73.0,22.1,102.5,0.47,7.0,50.0,1.0,,,,20.04,0.1308,0.2048,2.0,0.4315,synthetic
7.21,4.9,60.0,26.4,214.7,0.75,5.0,22.0,1.0,,,,20.51,0.1008,0.182,1.0,0.4655,synthetic
5.14,3.5,58.0,44.9,303.2,2.95,1.0,61.0,1.0,,,,0.37,0.1917,0.1071,2.0,0.5767,synthetic
7.94,1.0,89.0,14.6,341.1,0.49,2.0,50.0,1.0,,,,21.35,0.0822,0.1891,5.0,0.6786,synthetic
9.22,6.3,61.0,86.6,300.6,1.85,2.0,54.0,1.0,,,,0.82,0.1978,0.11,2.0,0.7521,synthetic
6.63,5.0,88.0,40.2,251.3,3.12,1.0,50.0,0.0,,,,0.46,0.1891,0.1046,2.0,0.5834,synthetic
9.01,3.9,73.0,31.7,363.0,3.9,7.0,49.0,0.0,,,,20.45,0.0762,0.1632,3.0,0.6499,synthetic
4.99,2.6,53.0,2.6,207.9,1.09,5.0,23.0,1.0,,,,22.75,0.1094,0.185,0.0,0.459,synthetic
4.71,1.6,74.0,75.9,253.3,3.34,3.0,49.0,0.0,,,,0.29,0.1967,0.2009,2.0,0.5789,synthetic
8.11,4.9,89.0,56.3,164.6,3.23,3.0,63.0,1.0,,,,0.99,0.1847,0.065,3.0,0.6119,synthetic
8.31,7.7,84.0,37.5,131.0,4.3,2.0,35.0,0.0,,,,1.71,0.1753,0.1201,3.0,0.628,synthetic
8.72,4.9,62.0,22.1,132.7,1.57,3.0,52.0,1.0,,,,22.31,0.05,0.1718,4.0,0.5603,synthetic
4.78,1.7,54.0,67.1,59.3,3.75,5.0,19.0,0.0,,,,1.86,0.1447,0.1803,2.0,0.5844,synthetic
8.38,5.0,68.0,85.1,318.6,3.76,7.0,37.0,0.0,,,,22.48,0.0513,0.1873,4.0,0.5276,synthetic
6.38,4.4,54.0,34.3,22.1,1.2,3.0,42.0,0.0,,,,20.05,0.1606,0.1848,5.0,0.4875,synthetic
6.02,6.2,62.0,12.1,269.9,3.11,1.0,74.0,0.0,,,,0.27,0.0985,0.119,3.0,0.4995,synthetic
5.37,5.7,87.0,9.8,345.8,3.38,7.0,30.0,0.0,,,,21.69,0.05,0.1129,4.0,0.3066,synthetic
9.48,1.0,76.0,0.6,199.0,1.37,2.0,33.0,0.0,,,,20.87,0.1523,0.0959,2.0,0.7761,synthetic
4.82,5.6,81.0,67.0,28.1,2.26,0.0,41.0,1.0,,,,21.81,0.0858,0.1906,1.0,0.3649,synthetic
8.64,2.5,72.0,88.3,171.4,2.18,4.0,74.0,1.0,,,,1.8,0.1766,0.0653,3.0,0.8149,synthetic
7.7,1.7,57.0,89.4,137.3,3.87,6.0,66.0,1.0,,,,2.4,0.1535,0.1237,3.0,0.6781,synthetic
8.18,4.1,56.0,70.6,394.2,0.0,2.0,19.0,1.0,,,,2.73,0.2021,0.2176,1.0,0.8146,synthetic
8.06,5.3,81.0,14.6,276.5,2.51,2.0,31.0,1.0,,,,22.12,0.0673,0.1798,2.0,0.4782,synthetic
8.79,1.2,67.0,88.0,288.5,0.92,2.0,64.0,1.0,,,,23.19,0.058,0.2338,1.0,0.7141,synthetic
5.42,5.9,70.0,29.5,206.3,3.23,6.0,21.0,0.0,,,,1.62,0.1921,0.2628,4.0,0.4875,synthetic
4.5,6.0,57.0,30.0,283.8,3.4,7.0,66.0,1.0,,,,22.23,0.05,0.1103,3.0,0.2503,synthetic
7.49,4.6,64.0,61.9,289.0,2.51,6.0,34.0,0.0,,,,22.7,0.0844,0.2207,4.0,0.5415,synthetic
6.27,2.8,55.0,4.4,26.5,2.71,1.0,70.0,0.0,,,,21.66,0.1052,0.0634,1.0,0.4681,synthetic
5.12,2.5,58.0,74.3,89.0,1.58,6.0,34.0,1.0,,,,0.01,0.2087,0.2447,4.0,0.6055,synthetic
5.43,6.6,86.0,89.8,5.2,1.57,2.0,42.0,0.0,,,,0.61,0.2271,0.1731,0.0,0.5542,synthetic
6.16,1.5,79.0,69.8,203.9,3.73,6.0,55.0,1.0,,,,22.23,0.0962,0.04,2.0,0.4756,synthetic
4.85,6.6,84.0,70.4,350.3,0.66,7.0,25.0,1.0,,,,20.17,0.0775,0.3332,2.0,0.3782,synthetic
4.78,4.2,85.0,35.1,243.8,3.86,5.0,49.0,1.0,,,,1.15,0.2337,0.1643,1.0,0.5306,synthetic
9.08,4.3,74.0,5.9,200.1,3.28,7.0,46.0,1.0,,,,0.32,0.1702,0.1364,4.0,0.7047,synthetic
6.06,1.1,62.0,71.3,370.4,4.42,1.0,62.0,1.0,,,,21.53,0.1017,0.0996,5.0,0.474,synthetic
9.41,4.2,70.0,53.7,68.9,1.3,5.0,74.0,0.0,,,,22.2,0.05,0.1145,4.0,0.6283,synthetic
9.32,5.7,51.0,81.8,29.8,2.53,0.0,55.0,1.0,,,,2.7,0.1426,0.0959,2.0,0.7505,synthetic
5.21,1.8,83.0,10.4,366.9,0.19,5.0,41.0,0.0,,,,0.41,0.2128,0.1381,1.0,0.6429,synthetic
8.07,5.5,82.0,27.5,361.1,4.56,2.0,41.0,0.0,,,,0.17,0.196,0.045,4.0,0.617,synthetic
7.5,4.7,70.0,32.5,273.2,3.38,7.0,41.0,0.0,,,,0.48,0.1646,0.1511,2.0,0.6525,synthetic
7.95,3.2,65.0,61.5,98.4,3.11,3.0,64.0,0.0,,,,2.68,0.0749,0.082,6.0,0.6696,synthetic
4.98,6.2,57.0,70.9,387.9,3.66,6.0,36.0,1.0,,,,22.38,0.05,0.1418,3.0,0.2247,synthetic
5.44,1.0,53.0,86.5,306.1,1.42,2.0,27.0,0.0,,,,21.97,0.0739,0.3128,1.0,0.538,synthetic
4.88,5.2,63.0,26.6,269.6,3.02,0.0,37.0,1.0,,,,22.64,0.0676,0.2397,2.0,0.3304,synthetic
7.52,7.7,87.0,44.4,89.2,4.0,5.0,19.0,1.0,,,,1.61,0.1247,0.1809,5.0,0.5959,synthetic
9.43,7.4,53.0,2.6,205.2,0.45,1.0,24.0,1.0,,,,20.85,0.1606,0.2314,2.0,0.626,synthetic
7.86,5.3,88.0,22.8,329.0,4.79,5.0,23.0,1.0,,,,21.45,0.0892,0.1229,2.0,0.4689,synthetic
8.05,3.9,71.0,33.7,344.1,4.46,3.0,61.0,0.0,,,,21.6,0.0894,0.0228,5.0,0.4327,synthetic
9.42,3.2,68.0,53.4,224.6,4.82,7.0,59.0,0.0,,,,0.45,0.1464,0.1014,2.0,0.7879,synthetic
7.89,3.9,55.0,42.4,209.1,4.04,2.0,57.0,1.0,,,,0.49,0.2172,0.0481,3.0,0.742,synthetic
4.7,5.6,53.0,32.8,279.1,1.47,3.0,44.0,1.0,,,,22.6,0.0628,0.1824,3.0,0.3186,synthetic
8.84,2.9,72.0,56.2,211.3,2.91,5.0,58.0,1.0,,,,21.93,0.05,0.1448,1.0,0.6656,synthetic
6.32,6.0,74.0,74.6,167.1,0.6,6.0,27.0,0.0,,,,1.28,0.2081,0.2425,1.0,0.6027,synthetic
4.52,8.8,67.0,21.8,34.2,3.77,1.0,69.0,0.0,,,,20.22,0.0712,0.027,2.0,0.1795,synthetic
7.04,4.4,61.0,30.9,50.4,0.77,5.0,46.0,0.0,,,,1.17,0.2004,0.1335,0.0,0.6744,synthetic
9.19,1.8,51.0,63.4,304.1,4.33,3.0,71.0,0.0,,,,21.47,0.0643,0.1021,10.0,0.6303,synthetic
5.79,1.8,61.0,70.0,9.9,1.2,7.0,26.0,0.0,,,,2.32,0.2143,0.1556,0.0,0.6683,synthetic
6.96,6.1,79.0,74.3,20.9,0.8,5.0,46.0,1.0,,,,22.9,0.0797,0.2721,1.0,0.4157,synthetic
5.37,4.4,74.0,18.8,361.9,0.35,6.0,57.0,0.0,,,,0.5,0.2158,0.0424,1.0,0.6615,synthetic
4.79,6.3,56.0,48.5,281.6,3.56,2.0,46.0,1.0,,,,20.85,0.05,0.1374,6.0,0.2671,synthetic
4.9,3.4,82.0,81.0,1.7,0.93,2.0,43.0,1.0,,,,21.78,0.1256,0.2542,1.0,0.4333,synthetic
8.14,6.2,56.0,35.3,124.8,0.99,6.0,27.0,1.0,,,,0.9,0.2037,0.1934,3.0,0.6461,synthetic
8.82,4.2,82.0,38.7,305.3,0.85,0.0,39.0,0.0,,,,23.85,0.1133,0.1368,2.0,0.6319,synthetic
5.22,3.0,71.0,88.6,167.0,1.53,4.0,31.0,0.0,,,,1.39,0.2378,0.2356,2.0,0.6405,synthetic
5.94,3.7,79.0,10.2,187.5,4.71,7.0,35.0,1.0,,,,23.94,0.0571,0.0548,3.0,0.3714,synthetic
5.48,2.1,53.0,63.5,183.5,2.43,7.0,56.0,0.0,,,,23.99,0.1196,0.1057,4.0,0.4511,synthetic
4.63,8.5,80.0,76.5,80.9,1.3,5.0,53.0,1.0,,,,2.01,0.1441,0.1917,3.0,0.4356,synthetic
7.27,4.3,79.0,13.6,288.6,0.85,3.0,52.0,1.0,,,,22.97,0.0668,0.2288,1.0,0.5521,synthetic
8.0,5.8,57.0,64.3,41.2,0.09,6.0,38.0,0.0,,,,2.27,0.2036,0.1992,4.0,0.6336,synthetic
7.74,3.4,56.0,42.3,202.9,1.82,0.0,72.0,1.0,,,,22.61,0.073,0.134,4.0,0.4809,synthetic
6.44,2.4,80.0,76.8,68.0,0.55,6.0,22.0,0.0,,,,22.3,0.2031,0.3077,4.0,0.5918,synthetic
7.28,4.0,67.0,81.7,18.6,0.14,1.0,37.0,0.0,,,,1.46,0.1805,0.2425,2.0,0.7283,synthetic
4.97,6.7,76.0,78.5,57.3,0.51,5.0,24.0,1.0,,,,20.08,0.1081,0.2492,0.0,0.3825,synthetic
5.27,3.5,50.0,5.8,347.7,1.59,2.0,37.0,1.0,,,,21.21,0.0852,0.1692,5.0,0.3786,synthetic
9.16,2.8,57.0,68.1,70.5,3.75,6.0,72.0,0.0,,,,20.5,0.05,0.1436,6.0,0.586,synthetic
8.31,4.8,80.0,82.9,111.3,0.33,4.0,38.0,1.0,,,,23.58,0.0797,0.35,1.0,0.6378,synthetic
9.11,5.5,58.0,55.9,55.2,3.39,7.0,69.0,1.0,,,,0.4,0.1489,0.1241,5.0,0.7434,synthetic
9.08,7.8,53.0,54.1,294.2,3.1,6.0,46.0,1.0,,,,20.07,0.096,0.1794,4.0,0.5431,synthetic
7.75,5.2,57.0,4.1,178.2,4.41,7.0,57.0,0.0,,,,21.13,0.05,0.1054,4.0,0.4882,synthetic
9.14,5.8,83.0,77.0,377.5,0.92,1.0,44.0,0.0,,,,22.12,0.1125,0.2713,0.0,0.6665,synthetic
6.58,5.9,64.0,4.2,265.7,3.97,3.0,33.0,1.0,,,,22.06,0.0857,0.1384,3.0,0.3878,synthetic
4.52,2.2,71.0,28.2,212.6,4.32,3.0,61.0,1.0,,,,20.68,0.05,0.0625,4.0,0.2885,synthetic
